Srl No.,I generally plan my expenses and never spend more than my budget ,I often take opinions or check reviews before buying,I often experiment with new brands rather than just sticking to old ones ,I like to spend my weekends with friends than staying at home . ,My favorite subjects in school were Mathematics & Science rather than Literature,"I make it a point to do some physical exercises (like swimming, walking, yoga) almost everyday","When I go out for shopping, I end up buying more items just by impulse",I am active on almost all Social media  ,"I like light, sober colors to bright, exciting colors when it comes to clothing ",I prefer watching videos/shows online rather than watching them in the television,I prefer ordering in from online apps than dining out,"I follow Brands, celebrities, influencers on social media",I always try to keep up with new fashion trends,I prefer reading or listening to music rather than exercising or playing a sport,Which company's mobile phone do you use ?,From where did you purchase your phone?,Which flavor of soft drink do you like to have the most ?,Given below is a list of products. Please tell us how frequently do you use these products  [Shower gels],Given below is a list of products. Please tell us how frequently do you use these products  [Hand sanitizers],Given below is a list of products. Please tell us how frequently do you use these products  [Facewashes],Given below is a list of products. Please tell us how frequently do you use these products  [Hair Conditioner],I generally read news from,I generally prefer to buy clothes from,Age ,Gender,Your hometown ?,Occupation 
903,2,8,8,3,8,2,9,7,2,10,8,0,3,8,Xiaomi,Online,Cola,Everyday,Less Often,Less Often,Never,Online,Online,18-23,Male,Kolkata,Student
904,1,9,5,7,9,4,4,7,8,9,3,5,5,7,Apple,Retail,Orange,Less Often,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Male,Other towns in East,Working Executive
905,3,9,5,1,6,5,8,3,8,10,2,0,2,5,Xiaomi,Online,Cola,Less Often,Everyday,Everyday,Less Often,Online,Online,24-28,Female,Kolkata,Student
906,10,10,7,8,10,8,3,9,10,10,7,8,8,7,Xiaomi,Online,Orange,Never,Less Often,Everyday,Less Often,Online,Online,24-28,Male,Other towns in West,Student
907,3,8,3,8,0,2,1,7,10,10,5,5,7,7,Xiaomi,Online,Cola,Everyday,Less Often,Everyday,Never,Online,Online,24-28,Male,Delhi,Student
908,10,10,5,5,6,4,8,0,3,10,10,10,5,10,Xiaomi,Online,Cola,Less Often,Less Often,Everyday,Never,Online,Online,24-28,Female,Other towns in East,Student
909,4,8,6,10,10,7,6,10,7,10,5,7,6,5,One Plus,Online,Cola,Less Often,Less Often,Everyday,Less Often,Online,Online,18-23,Male,Other towns in North,Student
910,2,9,3,7,8,10,6,4,3,9,4,3,5,5,Apple,Retail,Fruit flavour,Less Often,Everyday,Less Often,Less Often,Online,Online,18-23,Male,Other towns in East,Student
911,10,3,3,8,3,7,1,10,8,9,8,6,4,1,Xiaomi,Online,White/Colourless,Less Often,Never,Less Often,Less Often,Online,Online,18-23,Female,Delhi,Student
912,9,9,8,7,3,4,3,8,9,10,7,9,8,9,Xiaomi,Retail,White/Colourless,Never,Less Often,Everyday,Less Often,Online,Retail Stores,18-23,Male,Delhi,Student
913,7,8,5,6,9,8,3,2,8,8,5,7,4,5,Xiaomi,Retail,Cola,Less Often,Less Often,Everyday,Everyday,Online,Retail Stores,18-23,Female,Other towns in North,Student
914,7,8,8,6,10,5,2,5,3,8,10,6,3,5,Apple,Online,White/Colourless,Everyday,Less Often,Everyday,Never,Online,Online,24-28,Male,Kolkata,Student
915,6,10,6,5,10,8,6,9,9,9,8,7,7,0,Vivo,Retail,Fruit flavour,Never,Less Often,Everyday,Less Often,Online,Online,18-23,Male,Other towns in North,Student
916,2,5,7,8,3,4,10,7,3,7,3,8,9,8,Xiaomi,Online,Orange,Everyday,Less Often,Everyday,Less Often,Online,Retail Stores,18-23,Female,Delhi,Student
917,4,8,6,10,10,7,6,10,7,10,5,7,6,5,One Plus,Online,Cola,Less Often,Less Often,Everyday,Less Often,Online,Online,18-23,Male,Other towns in North,Student
918,2,9,3,7,8,10,6,4,3,9,4,3,5,5,Apple,Retail,Fruit flavour,Less Often,Everyday,Less Often,Less Often,Online,Online,18-23,Male,Other towns in East,Student
919,10,3,3,8,3,7,1,10,8,9,8,6,4,1,Xiaomi,Online,White/Colourless,Less Often,Never,Less Often,Less Often,Online,Online,18-23,Female,Delhi,Student
920,9,9,8,7,3,4,3,8,9,10,7,9,8,9,Xiaomi,Retail,White/Colourless,Never,Less Often,Everyday,Less Often,Online,Retail Stores,18-23,Male,Delhi,Student
921,7,8,5,6,9,8,3,2,8,8,5,7,4,5,Xiaomi,Retail,Cola,Less Often,Less Often,Everyday,Everyday,Online,Retail Stores,18-23,Female,Other towns in North,Student
922,7,8,8,6,10,5,2,5,3,8,10,6,3,5,Apple,Online,White/Colourless,Everyday,Less Often,Everyday,Never,Online,Online,24-28,Male,Kolkata,Student
923,6,10,6,5,10,8,6,9,9,9,8,7,7,0,Vivo,Retail,Fruit flavour,Never,Less Often,Everyday,Less Often,Online,Online,18-23,Male,Other towns in North,Student
924,2,5,7,8,3,4,10,7,3,7,3,8,9,8,Xiaomi,Online,Orange,Everyday,Less Often,Everyday,Less Often,Online,Retail Stores,18-23,Female,Delhi,Student
925,0,5,7,8,0,10,10,0,7,6,2,0,10,2,Others,Online,Cola,Less Often,Everyday,Everyday,Less Often,Newspaper,Retail Stores,18-23,Male,Other towns in North,Student
926,8,8,9,5,9,10,4,0,5,10,4,7,4,0,Apple,Retail,Orange,Less Often,Less Often,Everyday,Everyday,Newspaper,Retail Stores,18-23,Male,Hyderabad,Student
927,7,9,6,8,2,1,2,10,10,8,3,3,3,10,Apple,Retail,Cola,Everyday,Everyday,Everyday,Never,Online,Retail Stores,24-28,Male,Kolkata,Student
928,8,7,7,8,10,0,8,8,9,9,4,4,8,8,Samsung,Retail,Cola,Everyday,Everyday,Everyday,Everyday,Online,Retail Stores,18-23,Male,Other towns in East,Student
929,9,4,9,8,2,10,0,9,2,7,7,9,9,1,Apple,Retail,Cola,Everyday,Everyday,Everyday,Less Often,Online,Online,24-28,Female,Other towns in West,Student
930,3,9,8,5,8,4,7,5,8,8,4,5,6,5,Apple,Retail,Fruit flavour,Never,Never,Everyday,Less Often,Newspaper,Retail Stores,18-23,Male,Mumbai,Student
931,8,8,7,10,1,4,6,8,2,9,2,9,7,6,Xiaomi,Online,Cola,Less Often,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Male,Other towns in West,Student
932,3,6,10,7,0,2,9,7,10,10,5,9,7,9,Apple,Retail,Cola,Less Often,Never,Everyday,Everyday,Online,Retail Stores,18-23,Female,Other towns in East,Student
933,8,10,10,7,9,0,8,6,8,8,7,8,10,10,Xiaomi,Online,Orange,Everyday,Never,Less Often,Less Often,Online,Online,24-28,Male,Other towns in East,Student
934,6,8,6,5,8,3,8,7,3,7,2,7,6,3,Others,Online,White/Colourless,Less Often,Everyday,Everyday,Never,Online,Online,24-28,Female,Other towns in West,Student
935,2,9,3,7,10,8,2,8,2,5,2,5,2,3,Xiaomi,Online,Cola,Never,Never,Everyday,Everyday,Online,Retail Stores,24-28,Female,Delhi,Student
936,3,6,6,5,7,1,6,2,8,8,4,2,7,8,One Plus,Online,Fruit flavour,Everyday,Less Often,Everyday,Everyday,Online,Online,18-23,Female,Other towns in West,Student
937,7,9,2,3,10,2,6,5,9,8,6,5,3,8,Samsung,Retail,White/Colourless,Everyday,Less Often,Everyday,Less Often,Online,Retail Stores,18-23,Male,Other towns in West,Student
938,2,8,3,5,8,1,10,8,5,9,5,8,8,9,One Plus,Online,Cola,Less Often,Everyday,Everyday,Less Often,Online,Online,18-23,Female,Other towns in North,Student
939,6,8,8,9,10,6,6,5,2,9,3,8,4,6,Xiaomi,Online,White/Colourless,Less Often,Never,Everyday,Everyday,Online,Online,24-28,Female,Other towns in West,Student
940,4,8,7,9,8,2,8,1,3,9,1,6,7,5,Xiaomi,Retail,Cola,Everyday,Everyday,Everyday,Less Often,Online,Retail Stores,24-28,Female,Other towns in South,Student
941,6,10,10,4,10,2,1,1,7,9,9,3,4,4,Xiaomi,Online,White/Colourless,Everyday,Everyday,Everyday,Everyday,Online,Retail Stores,24-28,Female,Delhi,Student
942,8,7,5,9,7,8,1,2,2,9,2,1,7,1,Apple,Second hand mobile sources,Cola,Less Often,Everyday,Everyday,Everyday,Newspaper,Online,18-23,Male,Kolkata,Student
943,2,7,8,9,5,5,7,8,8,8,2,5,8,5,Xiaomi,Online,Cola,Everyday,Everyday,Everyday,Less Often,Online,Retail Stores,18-23,Male,Other towns in West,Student
944,8,9,9,2,0,0,7,2,0,10,9,9,2,7,Others,Online,Orange,Everyday,Everyday,Everyday,Never,Online,Retail Stores,24-28,Male,Kolkata,Student
945,4,9,7,5,10,6,1,0,2,2,0,2,6,0,Xiaomi,Online,Cola,Less Often,Everyday,Everyday,Less Often,Online,Retail Stores,18-23,Male,Other towns in West,Student
946,5,7,7,5,8,4,7,3,5,8,5,7,5,5,Samsung,Retail,Cola,Less Often,Less Often,Everyday,Less Often,Online,Retail Stores,18-23,Female,Mumbai,Student
947,7,9,7,8,2,4,9,5,8,9,5,7,7,9,Samsung,Retail,White/Colourless,Everyday,Less Often,Everyday,Everyday,Online,Online,24-28,Female,Other towns in North,Student
948,2,8,1,10,10,1,10,8,9,10,2,8,7,1,Xiaomi,Online,Cola,Everyday,Less Often,Everyday,Less Often,Online,Retail Stores,18-23,Male,Other towns in West,Student
949,9,9,8,7,8,1,9,9,9,9,4,2,5,8,Xiaomi,Online,Fruit flavour,Less Often,Less Often,Everyday,Everyday,Online,Retail Stores,24-28,Female,Mumbai,Student
950,3,8,9,2,7,3,7,1,10,9,6,8,8,2,Vivo,Online,I do not consume soft drinks at all,Everyday,Less Often,Everyday,Less Often,Online,Online,24-28,Female,Other towns in West,Student
951,7,9,5,4,5,7,7,3,4,8,1,1,3,5,Others,Online,Fruit flavour,Everyday,Less Often,Less Often,Less Often,Online,Retail Stores,24-28,Male,Mumbai,Student
952,3,9,6,6,9,7,4,3,7,8,4,6,3,3,Xiaomi,Online,Cola,Never,Everyday,Everyday,Less Often,Online,Retail Stores,24-28,Male,Other towns in East,Student
953,2,8,3,8,10,7,6,4,7,8,5,7,4,8,Xiaomi,Online,Cola,Everyday,Never,Everyday,Never,Online,Retail Stores,18-23,Male,Other towns in West,Student
954,6,9,7,6,10,5,6,9,7,9,6,8,8,5,Xiaomi,Online,Cola,Never,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Male,Kolkata,Student
955,7,9,9,10,10,6,10,8,0,8,3,5,7,1,Xiaomi,Online,Cola,Less Often,Never,Everyday,Everyday,Online,Retail Stores,24-28,Female,Other towns in West,Student
956,2,10,2,1,5,8,0,6,9,7,1,6,1,1,Others,Online,White/Colourless,Everyday,Less Often,Everyday,Everyday,Newspaper,Retail Stores,18-23,Female,Kolkata,Student
957,8,8,8,9,10,10,0,0,2,10,0,6,1,0,Oppo,Retail,I do not consume soft drinks at all,Never,Everyday,Everyday,Never,Newspaper,Retail Stores,24-28,Male,Other towns in North,Student
958,3,5,8,2,10,7,1,8,10,10,5,10,5,4,One Plus,Online,Cola,Everyday,Everyday,Everyday,Less Often,Online,Online,18-23,Male,Delhi,Student
959,6,8,6,4,5,2,10,2,0,8,4,5,0,7,Xiaomi,Online,I do not consume soft drinks at all,Less Often,Everyday,Less Often,Never,Newspaper,Retail Stores,18-23,Female,Kolkata,Student
960,9,10,7,6,0,6,4,3,10,8,5,8,6,0,Others,Online,I do not consume soft drinks at all,Less Often,Never,Everyday,Less Often,Newspaper,Retail Stores,18-23,Male,Kolkata,Working Executive
961,0,6,10,10,0,0,10,10,10,10,10,8,8,10,One Plus,Online,Cola,Everyday,Never,Everyday,Less Often,Online,Online,18-23,Male,Bangalore,Student
962,2,7,5,5,0,0,5,10,10,10,5,10,7,5,Samsung,Online,Fruit flavour,Never,Less Often,Less Often,Everyday,Online,Online,18-23,Female,Kolkata,Working Executive
963,3,10,5,0,5,3,0,10,10,10,10,10,4,10,Apple,Online,Orange,Never,Everyday,Everyday,Less Often,Online,Retail Stores,24-28,Male,Mumbai,Student
964,2,7,6,7,7,7,6,8,9,9,7,6,5,8,One Plus,Online,Cola,Never,Never,Less Often,Never,Online,Online,24-28,Male,Other towns in South,Student
965,7,8,7,6,8,2,7,3,8,5,4,2,6,7,Oppo,Retail,Cola,Everyday,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Male,Other towns in North,Student
966,3,8,4,9,8,9,8,3,8,5,3,1,4,2,Xiaomi,Online,White/Colourless,Less Often,Everyday,Everyday,Less Often,Online,Retail Stores,24-28,Male,Other towns in West,Student
967,4,9,7,8,10,8,7,10,10,10,9,8,8,9,Apple,Online,Cola,Less Often,Everyday,Everyday,Everyday,Newspaper,Online,18-23,Male,Other towns in North,Student
968,3,5,7,3,8,3,8,2,0,1,1,1,9,10,One Plus,Online,White/Colourless,Everyday,Less Often,Everyday,Never,Online,Online,18-23,Female,Other towns in West,Student
969,9,7,3,3,1,6,3,7,5,7,2,5,7,2,Vivo,Retail,Orange,Less Often,Less Often,Everyday,Everyday,Online,Online,18-23,Male,Delhi,Student
970,5,6,10,5,5,8,5,7,2,9,8,0,10,5,Others,Online,Cola,Less Often,Never,Everyday,Never,Online,Retail Stores,18-23,Male,Delhi,Student
971,3,6,4,7,10,9,3,8,9,8,3,3,6,2,One Plus,Online,White/Colourless,Never,Everyday,Everyday,Less Often,Online,Retail Stores,24-28,Male,Hyderabad,Student
972,2,6,7,9,7,7,9,6,8,9,3,9,10,5,Xiaomi,Online,Cola,Everyday,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Male,Other towns in West,Student
973,1,5,6,6,1,1,9,7,9,9,8,8,8,9,Others,Retail,Orange,Less Often,Less Often,Everyday,Everyday,Online,Online,24-28,Female,Other towns in North,Student
974,1,6,5,4,8,4,4,2,7,8,7,3,3,7,Vivo,Online,Fruit flavour,Everyday,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Female,Other towns in South,Student
975,5,9,5,5,6,2,10,6,9,10,5,7,9,9,Apple,Retail,Cola,Never,Everyday,Less Often,Less Often,Online,Retail Stores,24-28,Female,Bangalore,Student
976,2,7,5,8,10,3,8,0,8,9,5,2,3,5,One Plus,Online,Cola,Everyday,Never,Everyday,Less Often,Online,Retail Stores,18-23,Male,Other towns in North,Student
977,4,6,3,3,10,5,3,8,9,8,8,5,5,5,Xiaomi,Online,White/Colourless,Everyday,Everyday,Everyday,Never,Online,Retail Stores,24-28,Male,Other towns in North,Student
978,2,8,8,9,5,4,9,10,5,8,3,5,6,8,Xiaomi,Retail,Fruit flavour,Everyday,Everyday,Everyday,Less Often,Online,Online,18-23,Female,Other towns in East,Student
979,4,10,7,8,4,4,8,5,4,8,5,6,3,7,Xiaomi,Online,Fruit flavour,Everyday,Less Often,Less Often,Never,Online,Online,24-28,Male,Other towns in North,Student
980,1,2,2,5,9,4,9,3,5,5,2,0,10,9,Others,Online,Fruit flavour,Everyday,Everyday,Everyday,Less Often,Online,Retail Stores,24-28,Female,Other towns in North,Student
981,9,9,9,9,10,8,9,9,8,8,8,9,8,7,Xiaomi,Online,I do not consume soft drinks at all,Less Often,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Male,Other towns in West,Student
982,2,10,4,8,10,2,3,10,7,9,2,8,8,0,Xiaomi,Online,Cola,Never,Never,Less Often,Less Often,Online,Online,18-23,Male,Other towns in North,Student
983,7,5,5,1,3,0,6,7,10,10,10,10,9,10,Others,Online,Cola,Everyday,Less Often,Everyday,Less Often,Online,Online,24-28,Female,Kolkata,Student
984,2,8,7,5,9,0,8,8,5,8,5,8,7,5,Xiaomi,Online,Cola,Everyday,Everyday,Less Often,Never,Online,Online,24-28,Male,Delhi,Student
985,8,10,10,7,10,7,10,10,10,10,5,10,7,10,One Plus,Online,Cola,Less Often,Less Often,Everyday,Less Often,Online,Online,24-28,Male,Other towns in East,Student
986,6,7,7,7,0,6,0,5,8,4,0,0,8,0,Xiaomi,Online,Fruit flavour,Everyday,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Male,Kolkata,Student
987,7,6,6,5,7,7,3,7,5,9,7,4,5,2,One Plus,Online,White/Colourless,Everyday,Everyday,Everyday,Less Often,Online,Online,24-28,Male,Other towns in East,Student
988,1,7,4,5,3,2,10,7,5,6,4,3,4,4,One Plus,Second hand mobile sources,Cola,Never,Never,Less Often,Everyday,Online,Online,24-28,Female,Other towns in North,Student
989,5,5,5,5,5,8,4,5,4,4,4,7,6,4,Others,Online,Fruit flavour,Less Often,Less Often,Less Often,Never,Newspaper,Retail Stores,24-28,Male,Other towns in South,Student
990,8,8,2,4,9,9,4,6,5,8,7,8,4,8,Others,Online,Cola,Never,Everyday,Less Often,Never,Online,Retail Stores,24-28,Male,Other towns in East,Student
991,7,9,4,8,2,6,4,9,8,10,5,8,8,1,Xiaomi,Online,Cola,Everyday,Less Often,Everyday,Less Often,Online,Retail Stores,18-23,Male,Other towns in West,Student
992,6,9,1,7,10,4,10,6,10,10,7,4,6,7,Xiaomi,Retail,White/Colourless,Everyday,Never,Everyday,Never,Online,Retail Stores,24-28,Male,Other towns in East,Student
993,4,9,7,3,4,6,8,5,9,10,6,5,2,8,One Plus,Online,Cola,Everyday,Everyday,Everyday,Less Often,Online,Retail Stores,18-23,Female,Kolkata,Student
994,5,8,4,10,9,4,6,2,8,10,10,4,3,10,Others,Online,Cola,Never,Everyday,Less Often,Less Often,Online,Retail Stores,24-28,Male,Kolkata,Student
995,3,7,6,6,9,8,8,7,5,6,1,4,5,5,Others,Online,Cola,Never,Everyday,Never,Never,Online,Retail Stores,24-28,Male,Other towns in West,Student
996,8,9,7,4,6,9,3,4,6,10,4,7,5,4,Others,Online,I do not consume soft drinks at all,Everyday,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Female,Other towns in West,Student
997,5,8,7,6,6,3,7,5,10,9,3,8,4,5,Apple,Retail,Orange,Everyday,Less Often,Everyday,Everyday,Online,Retail Stores,24-28,Female,Other towns in North,Student
998,8,7,7,9,8,5,9,9,7,8,9,6,7,7,Xiaomi,Online,White/Colourless,Never,Everyday,Everyday,Less Often,Online,Online,24-28,Male,Other towns in East,Student
999,5,10,3,10,10,5,7,7,10,8,2,5,7,2,One Plus,Online,Cola,Everyday,Everyday,Less Often,Never,Online,Retail Stores,24-28,Male,Other towns in North,Student
1000,4,9,1,9,10,4,8,8,10,9,1,1,3,2,Apple,Online,Cola,Less Often,Less Often,Less Often,Less Often,Online,Retail Stores,18-23,Male,Delhi,Student
